,frequency
759,1
823,1
839,1
9091,1
2982,1
1047,1
1223,1
1622,1
1239,1
5461,1
3494,1
1447,1
1575,1
1623,1
1655,1
3926,1
695,1
679,1
631,1
615,1
42626,1
7941,1
8165,1
400,1
384,1
4261,1
6372,1
2294,1
2390,1
359,1
375,1
407,1
455,1
2550,1
519,1
567,1
583,1
1999,1
